LOCATION_ID,CITY_REGION,SEASON,DISPLAY_NAME,SHORT_TEXT,DURATION,NOTES_RULES,TAGS
KOL_KOLSAY_LAKES,Kolsay/Saty,all,Kolsai Lakes (Lower Kolsai),Pine-forest lake in the Tien Shan foothills; easy lakeside walk; great for nature photos.,1-3h on site + drive,Long drive from Almaty; best Apr–Oct; road conditions vary after rain.,nature;lake;easy;photo
KOL_KAINDY_LAKE,Kolsay/Saty,all,Kaindy Lake,Famous submerged forest with tree trunks in turquoise water; short hike; unique photo spot.,1-2h on site + drive,Often needs 4x4 in wet season; slippery trails; cold microclimate.,nature;lake;hike;photo;offroad
CHR_CHARYN_CANYON,Charyn,all,Charyn Canyon (Valley of Castles),Iconic red-rock canyon; viewpoints + optional hike to the river; top day-trip from Almaty.,2-4h on site + drive,Hot in summer: water/hat; windy/icy in winter: layers; keep edge safety.,canyon;nature;hike;photo
CHR_BLACK_CANYON,Charyn,all,Black Canyon,"Dark, dramatic canyon section near Charyn area; short scenic stops; good add-on to main canyon.",30-60m on site,Stop-based location; watch footing near edges.,canyon;scenic;photo;easy
CHR_MOON_CANYON,Charyn,all,Moon Canyon,Soft pale rock landscapes with 'lunar' shapes; short walk + viewpoints; great wide-angle photos.,45-90m on site,Loose ground; avoid after heavy rain; no shade—sun protection.,canyon;scenic;photo;easy
ALM_SHYMBULAK,Almaty,all,Shymbulak Ski Resort,"Mountain resort above Almaty; cable cars + panoramic views; skiing in winter, hikes in warm season.",2-5h,Weather changes fast; warm layer; weekends crowded—go early.,mountains;cablecar;ski;family;photo
ALM_MEDEU,Almaty,all,Medeu Skating Rink,High-altitude rink landmark; scenic valley; gateway to Shymbulak route.,30-90m,Check seasonal schedule if skating; stairs can be icy in winter.,city;mountains;easy;photo
AEM_ALTYN_EMEL_NP,Altyn Emel,summer,Altyn Emel National Park,Cinematic desert-mountain landscapes; dunes + colorful hills; often 1–2 days from Almaty.,Full day or 2D1N,Permit/fees may apply; early start; rough roads—4x4 recommended.,nationalpark;desert;photo;offroad
AEM_WILLOW_700Y,Altyn Emel,spring,700-Year-Old Willow,Historic old-tree landmark; quick cultural/photo stop inside park area.,20-40m,Best comfort spring/autumn; respect protected area rules.,landmark;photo;easy
AEM_SINGING_DUNE,Altyn Emel,summer,Singing Dune,Famous dune that can 'sing' in dry windy conditions; climb for panoramic views.,1.5-3h,Steep sand climb; good shoes; strong sun—bring water.,desert;dune;hike;photo
