BLOCK_ID,SEASON,TITLE,WHAT_IT_COVERS,SUGGESTED_TIME,OUTPUT_TEMPLATE
ALM_ARRIVAL_CITY_EASY,all,Arrival + Light City Walk,"Airport meet, transfer, check-in, rest, evening Arbat/nearby cafes",16:00 - 20:00,"DAY_DESCRIPTION: 1–2 short sentences for a soft landing day.
DAY_LOCATION: Location: Airport, Arbat
DAY_OVERNIGHT: Almaty"
ALM_CITY_HIGHLIGHTS_STD,all,Almaty City Highlights,"Central parks, key landmarks, optional museums, relaxed city pacing",10:00 - 18:00,"DAY_DESCRIPTION: 2–3 sentences, city focus.
DAY_LOCATION: Location: Arbat, First President Park, Botanical Garden, Museum of Modern Art (as relevant)
DAY_OVERNIGHT: Almaty"
ALM_MEDEU_SHYMBULAK,all,Medeu + Shymbulak Cable Car,"Medeu stop, Shymbulak resort, cable car rides, free time",10:00 - 17:00,"DAY_DESCRIPTION: mention cable car + free time.
DAY_LOCATION: Location: Medeu, Shymbulak
DAY_OVERNIGHT: Almaty"
ALM_SHYMBULAK_GORELNIK_ACTIVE,all,Shymbulak + Gorelnik Trail (Active),Shymbulak plus an active hiking segment on Gorelnik trail,09:00 - 18:00,"DAY_DESCRIPTION: emphasize active hike + viewpoints.
DAY_LOCATION: Location: Shymbulak, Gorelnik Trail
DAY_OVERNIGHT: Almaty"
CHR_CHARYN_FULLDAY,all,Charyn Canyon Day Trip,"Valley of Castles, viewpoints, optional walk",07:00 - 19:00,"DAY_DESCRIPTION: 2–3 sentences, canyon focus.
DAY_LOCATION: Location: Charyn Canyon
DAY_OVERNIGHT: Almaty"
CHR_CHARYN_BLACK_MOON,all,Charyn + Black + Moon Canyons,Combine main canyon with two scenic side canyons,07:00 - 20:00,"DAY_DESCRIPTION: mention 3 canyon stops.
DAY_LOCATION: Location: Charyn Canyon, Black Canyon, Moon Canyon
DAY_OVERNIGHT: Almaty"
KOL_2D_KOLSAY_KAINDY,summer,Kolsai + Kaindy (2D1N),"Transfer to Saty/Kolsay area, Kolsai lake, Kaindy lake, nature time",Day 1–2,"DAY 1: transfer + Kolsai walk; Overnight: Saty/Kolsay area.
DAY 2: Kaindy visit + return.
Location lines must start with 'Location:'"
KOL_DAYTRIP_KAINDY_KOLSAY_LONG,summer,Kaindy + Kolsai (Long Day),Very long day trip covering both lakes in one day (when required),06:00 - 22:00,"DAY_DESCRIPTION must warn it’s a long day.
DAY_LOCATION: Location: Kaindy Lake, Kolsai Lakes
DAY_OVERNIGHT: Almaty"
AEM_ALTYN_EMEL_1D,all,Altyn Emel (1-Day Highlights),Singing Dune + one mountain zone (Aktau or Katutau),06:00 - 21:00,"DAY_DESCRIPTION: desert highlights + early start.
DAY_LOCATION: Location: Singing Dune, Aktau Mountains (or Katutau)
DAY_OVERNIGHT: Almaty"
AEM_ALTYN_EMEL_2D,all,Altyn Emel (2D1N Classic),"Dune + Aktau/Katutau + 700-year willow, overnight in park area",Day 1–2,"DAY 1: dune + mountains; Overnight: Basshi/park area.
DAY 2: willow + scenic stops + return.
Keep location line strict."
ISSYK_TURGEN_ASSY,summer,Issyk + Turgen + Assy Plateau,Issyk Lake + Golden Man museum (optional) + Turgen gorge/waterfall + Assy views,08:00 - 19:00,"DAY_DESCRIPTION: 2–4 sentences, varied nature.
DAY_LOCATION: Location: Issyk Lake, Turgen Gorge, Turgen Waterfall, Assy Plateau
DAY_OVERNIGHT: Almaty"
ILI_TAMGALY_TAS,all,Tamgaly Tas Petroglyphs,"Petroglyph panels, Ili River viewpoints, short walk",10:00 - 16:00,"DAY_DESCRIPTION: cultural + scenic.
DAY_LOCATION: Location: Tamgaly Tas
DAY_OVERNIGHT: Almaty"
ALM_AYUSAI_HIKE,all,Ayusai Hike + Waterfall,"Mountain walk in Ayusai, optional Hobbit waterfall photo stop",09:00 - 14:00,"DAY_DESCRIPTION: active half-day.
DAY_LOCATION: Location: Ayusai Gorge, Hobbit Waterfall
DAY_OVERNIGHT: Almaty"
ALM_OI_QARAGAI_RESORT,all,Oi-Qaragai Resort Day,Mountain resort leisure and seasonal activities,11:00 - 17:00,"DAY_DESCRIPTION: relaxed/adventure depending on season.
DAY_LOCATION: Location: Oi-Qaragai
DAY_OVERNIGHT: Almaty"
CHUNDZHA_HOT_SPRINGS_DAY,all,Chundzha Hot Springs Day Trip,Long drive + thermal pools relaxation + return,09:00 - 22:00,"DAY_DESCRIPTION: emphasize wellness + long drive.
DAY_LOCATION: Location: Chundzha Hot Springs
DAY_OVERNIGHT: Almaty"
BORDER_KHORGOS_ZHARKENT,all,Khorgos + Zharkent,Border area logistics + cultural stop in Zharkent,09:00 - 19:00,"DAY_DESCRIPTION: include timing buffers.
DAY_LOCATION: Location: Khorgos, Zharkent
DAY_OVERNIGHT: Almaty"
ALM_SHOPPING_DAY,all,Shopping + Free Time,"Forum Mall, MEGA Mall, Arbat stroll, souvenirs",12:00 - 18:00,"DAY_DESCRIPTION: light day before departure.
DAY_LOCATION: Location: Forum Mall, MEGA Mall (Al-Farabi), Arbat
DAY_OVERNIGHT: Almaty (or '-' if departure day)"
